,1.2만,4년 전,와 개좋네        
@user-xv4ed4cw1s,4,4년 전,와 진짜 노래도 좋고 한요한도 킫밀도 멋있고 좋아    그리고 밀리형 진짜 좋아
@user-be2st7ce9w,2,4년 전,진짜 과장 도 안 하고 하루에 최소  번은 듣는듯
@wanna_be_free,2,11개월 전,기타파트는 언제 들어도 너무 시원하다  
@eucong,25,3년 전(수정됨),나는 이 곡이 아주 좋다  내가 가장 친애하는 곡이다  한국 화이팅  이런 노래를 더 만들면 좋겠다  어떻게 좋을까 이렇게  이 글은 번역한 것이다  요류가 있다면 요구를 
@deysidepaula,5,3년 전,                      
@user-ux8fc3iq7v,1,3년 전(수정됨),너무 좋다
@user-ht7qw5hm2q,1,4년 전,노래잘들었습니다 피아노소리가 정말 좋네요
@shalessandro,3,10개월 전,고성능 자동차 끌때 이노래 들으면 개간지
@user-he6dz1qp1x,35,4년 전,킫밀 산에서 나물캐는 힙한 아주머니 같애 사랑해 넘 귀여워    
@user-dz9jz1wj3n,4,4년 전,노래 존나좋은거    실화야   진짜 코리안락스타다  
@user-qv9cl9mj9h,1,4년 전,좋아요
@user-su5hw8jq5y,17,4년 전,요한오빠 너무 멋있다 이번 신곡도 겁나 좋고  위 제발 가자           원숭이 아닌 원기옥
@adendjer3780,4,4년 전,                                        
@user-sx7qs7vx1u,7,4년 전,아니 조회수 제발 왜이럼 노래 개좋은데 조회수 보고 내 눈을 의심했다
@user-ii1iq1ou4w,5,3년 전,속이 풀리는 노래야
@user-mu6jy4bt2q,6,4년 전,우리엄마도 옆에서 이거 듣더니 좋대     차트 떡상 화이팅  
@user-zq2zu9lg3u,234,4년 전(수정됨),돈까스  개에  천   원 양홍원    원에  대 한요한 내 속도는       최원재 피규어    개 장용준 합의금    만원
@KimKeun,0,4년 전,곡 기타 들어가자마자 소름돋고  한요한 보컬로 치고 들어올 때 돋아버리고  키드밀리 튠 깔면서 랩 들어갈 때 소름돋고
@user-fm6ox9di7g,2,4년 전,미친 노래 개좋네   뭐야진짜 미쳤다
@user-iq4oo4im6l,8,4년 전,밀리야 요하나 둘이 캐미 오진다   너무 좋아   
@auliaastrid6493,3,4년 전,                                                                                
@KyuHoonOh,0,3년 전,진짜 오랜만에 다시 뮤비보는데 개좋네 
@user-jd5mf1rq4v,0,4년 전,와 진짜 이번건    레전드다 아니진짜 진심 너무좋아
@undercoverism6482,4,4년 전,형 진짜 사랑해          형밖에 없다 산산조각 같은 느낌이야   역시는 역시             
@user-td2sc5ot6g,5,3년 전,다시한번 느끼는건데 한요한 기타 잘쳐  
@whwlsrhks7777,0,4년 전,한요한 내 바램은 꼭 포기하지 않는것 난 락의 길을 포기했지만 포기하지 않는것을 원한다 팬을 돈으로 생각한적 없다는 그의말 처럼 난       처럼 내 꿈에 나아갈테니까 꼭 이런곡을 뽑아줬음 좋겠다
@user-hg8pd3bb5s,1,4년 전,오빠들 팬이에요   사랑해요 앞으로도 좋은 음악 많이들려주세요
@mm-sc2di,3,4년 전,                    
@saphosapien,33,4년 전,                                                       
@kaisaisa7205,1,4년 전,좋다
@user-qe4mm8xb5j,2,4년 전,아니 진짜 팬심이 아니라 진심 노래 개좋네    
@pandagirl9109,4,3년 전,                             
@marisukemaui5129,24,4년 전,                                                                                                               
@user-yv9cf7pr3c,0,4년 전,이거 진짜 요즘들어 들은 노래중에 진짜 원탑인데 사람들 잘 모르네   
